symbol,fecha_entrada,fecha_salida,entrada,salida,shares,pnl,resultado,capital
AMZN,2020-11-05,2021-03-03,162.29,150.07,2,-24.44,LOSS,3975.56
NVDA,2020-11-12,2021-03-04,13.44,12.14,20,-26.0,LOSS,3949.56
UNP,2021-03-08,2021-09-20,187.84,178.54,2,-18.6,LOSS,3930.96
RTX,2021-09-23,2021-11-26,77.84,74.93,8,-23.28,LOSS,3907.68
META,2021-03-10,2022-02-03,266.72,247.28,1,-19.44,LOSS,3888.24
SCHW,2021-12-03,2022-03-08,76.0,71.6,5,-22.0,LOSS,3866.24
SCHW,2022-03-17,2022-04-06,84.19,77.11,3,-21.24,LOSS,3845.0
AVGO,2022-03-16,2022-05-19,55.33,51.01,5,-21.6,LOSS,3823.4
PM,2022-04-07,2022-07-07,83.06,79.94,8,-24.96,LOSS,3798.44
BMY,2022-06-22,2022-07-14,65.75,63.26,9,-22.41,LOSS,3776.03
RTX,2022-07-20,2022-09-01,86.61,81.91,5,-23.5,LOSS,3752.53
TSLA,2020-11-04,2022-12-22,142.64,130.53,2,-24.22,LOSS,3728.31
BMY,2022-09-29,2023-03-07,61.95,58.88,7,-21.49,LOSS,3706.82
DE,2023-02-21,2023-03-10,418.51,396.64,1,-21.87,LOSS,3684.95
COP,2022-09-29,2023-03-16,92.2,84.41,3,-23.37,LOSS,3661.58
EOG,2023-04-04,2023-05-02,110.15,102.88,3,-21.81,LOSS,3639.77
APD,2023-04-03,2023-05-16,267.88,255.07,1,-12.81,LOSS,3626.96
SBUX,2023-04-03,2023-05-23,96.88,93.47,6,-20.46,LOSS,3606.5
AMAT,2023-08-21,2023-09-26,140.39,131.86,2,-17.06,LOSS,3589.44
NVDA,2023-08-15,2023-10-26,43.82,40.46,6,-20.16,LOSS,3569.28
MU,2023-10-02,2023-10-26,68.06,63.99,5,-20.35,LOSS,3548.93
ABBV,2020-11-03,2024-12-31,72.33,170.33,7,685.97,OPENâ†’CLOSE,4234.9
MSFT,2020-11-05,2024-12-31,208.51,417.46,2,417.9,OPENâ†’CLOSE,4652.8
PH,2023-05-08,2024-12-31,323.95,628.72,1,304.77,OPENâ†’CLOSE,4957.57
IBM,2023-10-27,2024-12-31,133.63,213.08,5,397.24,OPENâ†’CLOSE,5354.81
AMZN,2023-10-31,2024-12-31,133.05,219.39,2,172.68,OPENâ†’CLOSE,5527.49
